Word in French,Word in english,Meaning,Significance,Notes
Un char,car,,,
Une champlure,tap,water tap?,,
Un chien-chaud,hot dog,,,
Un clavardage,chat,like lets have a chat?,,
Fin(m)/Fine(f),Nice!/Sweet,,,
Jaser,Chat,How is this diffreent from clavardage,,
Une laveuse,wasking machine,,,
Le liquor,soda,,,*Be careful of this false friend.
Magasinage,Shopping,,,*Literally magasin (shop) & the suffix -age to show the action of shopping
Ma blonde,my girlfriend,,,My blondy LOL
Un robeur,tire,rubber tire,,*From the English word rubber
Stacose,because,,"So could you say ""just because"" would that translate well?",*Comes from parce que
Attache ta tuque!,Hold on tight!,,,*A tuque is a Canadian word for beanie
Avoir les shakes,,,,to have the shakes/to be scared
Arrête de faire le boss de bécosses!,Stop acting like the boss!,,,*Literally stop acting like the boss of the toilets
Caller l’orginal,to puke/to vomit,,,
C’est le fun!,It’s awesome!,,,
Chauffer le char,to drive the car,,,
C’est tiguidou!,It’s all good!,,,
Ça a pas d’allure!
,It makes no sense at all!,,,*Allure has a different meaning in English
Ça vient de s’éteindre,"period, end of story",,,
Chu dans marde!,I’m in trouble!,,,
Comme toé!,Relax!,,,
Déguédine!,Hurry up!,,,
Drette là,Right here,,,
Dûr de comprenure,You don’t understand,,,
Être vite sur ses patins
Literally to be quick on one’s skates",to be quick off the mark,,,
Faire du pouce,to hitchhike,,,*Literally means to make some thumb
Faire du train,to make a lot of noise,,,
Franchement Armand!,That’s taking the piss!,,,
J’aime le way qu’à hang,I like your look,,,
Je vais aller m’aller ma lettre,I’m going to mail my letter,,,
Il fait frette!,It’s freezing!,,,
Mets-en,Totally/For sure,,,
Sacrament!,Dammit!,,,*Comes from the Catholic rite
T’as pas rapport,You’re not making sense,,,
T’es ben chix,You’re hot,,,
T’es faite à l’os,You’re dead meat,,,
T’es tellement mean,You’re mean,,,
Tire toi une buche,Take a seat,,,*Literally means to take a log
Tu me prends pour une valise?,You take me for a fool/gullible person?,,,*Literally you take me for a suitcase (which can be filled with anything)
Se calmer le pompon,to stay cool,,,